Date,IBM,WMT,VZ,TRV,MMM,PFE,INTC,HD,AXP,CAT,IBM
10/30/2017,1,0.896622614,0.424983477,0.972431455,0.954249668,0.841755923,0.998801917,0.978130841,0.982785603,0.978214864,1
9/29/2017,0.983013699,0.637885463,0.534699273,0.820277192,0.814010624,0.882049554,0.747603834,0.961775701,0.879722781,0.831569775,0.983013699
8/31/2017,0.967123288,0.635829662,0.434236616,0.800090389,0.776958831,0.751644713,0.627396166,0.833831776,0.78224905,0.741690527,0.967123288
7/31/2017,0.950136986,0.692217327,0.462656973,0.904188008,0.756042497,0.695966241,0.643370607,0.831308411,0.762799016,0.697622308,0.950136986
6/30/2017,0.933150685,0.565638767,0.215465962,0.880686954,0.802656042,0.727468534,0.57428115,0.86682243,0.74066622,0.616830574,0.933150685
5/31/2017,0.916712329,0.651395007,0.346331791,0.855378126,0.777954847,0.658603056,0.668929712,0.867850467,0.577464789,0.591559816,0.916712329
4/28/2017,0.898630137,0.550954479,0.298083278,0.807321482,0.720584329,0.751644713,0.670527157,0.892056075,0.629107981,0.552097597,0.898630137
3/31/2017,0.883287671,0.459911894,0.485789822,0.79044893,0.690703851,0.772890445,0.667332268,0.805420561,0.625978091,0.433835429,0.883287671
2/28/2017,0.86630137,0.426138032,0.543952412,0.816059054,0.657636122,0.766296942,0.672523962,0.787476636,0.647216633,0.482385161,0.86630137
1/31/2017,0.850958904,0.3030837,0.502974223,0.748870142,0.581075697,0.591202802,0.697284345,0.718971963,0.564945227,0.469936512,0.850958904
12/30/2016,0.833424658,0.37298091,0.791804362,0.818770714,0.605976096,0.646148662,0.675319489,0.686261682,0.513525598,0.433586456,0.833424658
11/30/2016,0.816986301,0.411453744,0.561797753,0.682133173,0.56062417,0.621239872,0.612619808,0.642523364,0.467918623,0.468691647,0.816986301
10/31/2016,0.800547945,0.399412628,0.442828817,0.604248268,0.517861886,0.589737579,0.619408946,0.573457944,0.342275877,0.31806299,0.800547945
9/30/2016,0.783561644,0.461086637,0.699272968,0.700210907,0.590438247,0.747981655,0.73442492,0.635794393,0.28906774,0.384165318,0.783561644
8/31/2016,0.767123288,0.441116006,0.722405816,0.762880386,0.610424967,0.816114522,0.66014377,0.686635514,0.323496535,0.29926553,0.767123288
7/29/2016,0.749041096,0.486049927,0.925974884,0.725369087,0.604581673,0.969230318,0.619009585,0.725140187,0.298457411,0.309348936,0.749041096
6/30/2016,0.733150685,0.487518355,0.954395241,0.767851763,0.583067729,0.846151592,0.536741214,0.626542056,0.215738878,0.222830823,0.733150685
5/31/2016,0.716712329,0.421732746,0.627891606,0.694034348,0.537915007,0.808788407,0.48841853,0.667943925,0.32752068,0.18175028,0.716712329
4/29/2016,0.699178082,0.306901615,0.63053536,0.630159687,0.531673307,0.662998725,0.436102236,0.684485981,0.320143081,0.246607743,0.699178082
3/31/2016,0.683287671,0.354478708,0.838070059,0.732750829,0.526693227,0.438087005,0.518769968,0.680186916,0.230046948,0.231918337,0.683287671
2/29/2016,0.66630137,0.29133627,0.616655651,0.594305514,0.46188579,0.440284839,0.408546326,0.59317757,0.099932931,0.121872277,0.66630137
1/29/2016,0.649315068,0.291923642,0.566424323,0.58707442,0.422908367,0.50035898,0.465654952,0.608504673,0.053431701,0.053902652,0.649315068
12/31/2015,0.633424658,0.143318649,0.318572373,0.674751431,0.420517928,0.631496432,0.602635783,0.669158879,0.412251285,0.125108926,0.633424658
11/30/2015,0.616438356,0.071071953,0.267680106,0.700512202,0.459960159,0.667394394,0.615415335,0.684392523,0.458976079,0.183493091,0.616438356
10/30/2015,0.599452055,0.024082232,0.362194316,0.675203375,0.464143426,0.744318598,0.579073482,0.588691589,0.495193383,0.187725632,0.599452055
9/30/2015,0.583013699,0.247283407,0.13945803,0.473937933,0.361620186,0.567759235,0.42951278,0.512523364,0.514643416,0.092742437,0.583013699
8/31/2015,0.566575342,0.244052863,0.304692664,0.474239229,0.364077025,0.627100763,0.366613419,0.521588785,0.572546389,0.230673472,0.566575342
7/31/2015,0.549589041,0.456975037,0.356245869,0.573214824,0.425166003,0.908423567,0.38298722,0.526915888,0.557791192,0.257936014,0.549589041
6/30/2015,0.53260274,0.426138032,0.344348976,0.430702019,0.444820717,0.723072866,0.44149361,0.471775701,0.59490275,0.334993153,0.53260274
5/29/2015,0.515068493,0.524229075,0.53139458,0.497890931,0.476560425,0.812451464,0.603035144,0.474485981,0.639615471,0.341217478,0.515068493
4/30/2015,0.499178082,0.635242291,0.597488434,0.497740283,0.458698539,0.752377324,0.526757188,0.432990654,0.588866533,0.360637371,0.499178082
3/31/2015,0.482739726,0.758590308,0.477858559,0.603495029,0.515537849,0.81538191,0.475638978,0.494953271,0.603845294,0.275364123,0.482739726
2/27/2015,0.465205479,0.807929515,0.532055519,0.593100331,0.540106242,0.780949171,0.55471246,0.505607477,0.681421865,0.311091747,0.465205479
1/30/2015,0.449863014,0.83876652,0.284864508,0.523501055,0.497941567,0.556037451,0.546325879,0.409065421,0.66130114,0.274617204,0.449863014
12/31/2014,0.433424658,0.865198238,0.355584931,0.569147334,0.511354582,0.548711336,0.676118211,0.414205607,0.937402191,0.41852359,0.433424658
11/28/2014,0.415342466,0.913950073,0.607402512,0.548056644,0.483266932,0.548711336,0.714456869,0.362149533,0.923541247,0.53143284,0.415342466
